id,pop,subpop,region,country,continent,latitude,longitude
AP_12,AP,AP,PNW,USA,NAM,45.80877,-121.27622
AP_14,AP,AP,PNW,USA,NAM,45.80877,-121.27622
AP_2,AP,AP,PNW,USA,NAM,45.80877,-121.27622
AP_7,AP,AP,PNW,USA,NAM,45.80877,-121.27622
AP_9,AP,AP,PNW,USA,NAM,45.80877,-121.27622
BJ_1,BJ,BJ,PNW,USA,NAM,48.789608,-122.463926
BJ_12,BJ,BJ,PNW,USA,NAM,48.789608,-122.463926
BJ_16,BJ,BJ,PNW,USA,NAM,48.789608,-122.463926
BJ_17,BJ,BJ,PNW,USA,NAM,48.789608,-122.463926
BJ_5,BJ,BJ,PNW,USA,NAM,48.789608,-122.463926
BJ_8,BJ,BJ,PNW,USA,NAM,48.789608,-122.463926
CB_1,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_10,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_11,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_12,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_13,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_14,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_16,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_17,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_18,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_19,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_20,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_3,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_6,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_7,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_8,CB,CB,NE,USA,NAM,42.71138,-74.31467
CB_9,CB,CB,NE,USA,NAM,42.71138,-74.31467
CG_11,CG,CG,PNW,USA,NAM,43.677565,-123.073732
CG_12,CG,CG,PNW,USA,NAM,43.677565,-123.073732
CG_14,CG,CG,PNW,USA,NAM,43.677565,-123.073732
CG_17,CG,CG,PNW,USA,NAM,43.677565,-123.073732
CH_1,CH,CH,NE,USA,NAM,44.59865,-73.17804
CH_10,CH,CH,NE,USA,NAM,44.59865,-73.17804
CH_12,CH,CH,NE,USA,NAM,44.59865,-73.17804
CH_12_1,CH,CH,NE,USA,NAM,44.59865,-73.17804
CH_12_4,CH,CH,NE,USA,NAM,44.59865,-73.17804
CH_15,CH,CH,NE,USA,NAM,44.59865,-73.17804
CH_16,CH,CH,NE,USA,NAM,44.59865,-73.17804
CH_17,CH,CH,NE,USA,NAM,44.59865,-73.17804
CH_17B,CH,CH,NE,USA,NAM,44.59865,-73.17804
CH_6,CH,CH,NE,USA,NAM,44.59865,-73.17804
CH_9,CH,CH,NE,USA,NAM,44.59865,-73.17804
CO_10,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_11,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_15,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_16,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_18,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_19,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_2,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_20,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_3,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_4,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_6,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_7,CO,CO,NE,USA,NAM,42.67663,-74.42293
CO_9,CO,CO,NE,USA,NAM,42.67663,-74.42293
DF_1,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_10,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_11,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_14,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_15,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_16,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_2,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_23,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_25,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_27,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_30,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_31,DF,DF,NE,USA,NAM,43.93722,-73.30215
DF_5,DF,DF,NE,USA,NAM,43.93722,-73.30215
DR_1,DR,DR,PNW,USA,NAM,43.655301,-123.333033
DR_11,DR,DR,PNW,USA,NAM,43.655301,-123.333033
DR_2,DR,DR,PNW,USA,NAM,43.655301,-123.333033
DR_3,DR,DR,PNW,USA,NAM,43.655301,-123.333033
DR_4,DR,DR,PNW,USA,NAM,43.655301,-123.333033
DR_5,DR,DR,PNW,USA,NAM,43.655301,-123.333033
DR_6,DR,DR,PNW,USA,NAM,43.655301,-123.333033
FC_1,FC,FC,NE,USA,NAM,44.10018,-73.28369
FC_14,FC,FC,NE,USA,NAM,44.10018,-73.28369
FC_19,FC,FC,NE,USA,NAM,44.10018,-73.28369
FC_2,FC,FC,NE,USA,NAM,44.10018,-73.28369
FC_20,FC,FC,NE,USA,NAM,44.10018,-73.28369
FC_21,FC,FC,NE,USA,NAM,44.10018,-73.28369
FC_22,FC,FC,NE,USA,NAM,44.10018,-73.28369
FC_3,FC,FC,NE,USA,NAM,44.10018,-73.28369
FC_5,FC,FC,NE,USA,NAM,44.10018,-73.28369
FC_6,FC,FC,NE,USA,NAM,44.10018,-73.28369
FC_8,FC,FC,NE,USA,NAM,44.10018,-73.28369
FL_1,FL,FL,NE,USA,NAM,42.52917,-76.77743
FL_10,FL,FL,NE,USA,NAM,42.52917,-76.77743
FL_12,FL,FL,NE,USA,NAM,42.52917,-76.77743
FL_15,FL,FL,NE,USA,NAM,42.52917,-76.77743
FL_16,FL,FL,NE,USA,NAM,42.52917,-76.77743
FL_17,FL,FL,NE,USA,NAM,42.52917,-76.77743
FL_20,FL,FL,NE,USA,NAM,42.52917,-76.77743
FL_4,FL,FL,NE,USA,NAM,42.52917,-76.77743
FL_6,FL,FL,NE,USA,NAM,42.52917,-76.77743
FL_7,FL,FL,NE,USA,NAM,42.52917,-76.77743
FL_8,FL,FL,NE,USA,NAM,42.52917,-76.77743
FL_9,FL,FL,NE,USA,NAM,42.52917,-76.77743
FP_1,FP,FP,NE,USA,NAM,42.90015,-74.74652
FP_11,FP,FP,NE,USA,NAM,42.90015,-74.74652
FP_12,FP,FP,NE,USA,NAM,42.90015,-74.74652
FP_16,FP,FP,NE,USA,NAM,42.90015,-74.74652
FP_17,FP,FP,NE,USA,NAM,42.90015,-74.74652
FP_2,FP,FP,NE,USA,NAM,42.90015,-74.74652
FP_3,FP,FP,NE,USA,NAM,42.90015,-74.74652
FP_4,FP,FP,NE,USA,NAM,42.90015,-74.74652
FP_8,FP,FP,NE,USA,NAM,42.90015,-74.74652
FR1_13,FR,FR1,WEU,France,EU,NA,NA
FR1_14,FR,FR1,WEU,France,EU,NA,NA
FR1_16,FR,FR1,WEU,France,EU,NA,NA
FR1_4,FR,FR1,WEU,France,EU,NA,NA
FR1_5,FR,FR1,WEU,France,EU,NA,NA
FR1_9,FR,FR1,WEU,France,EU,NA,NA
FR2_14,FR,FR2,WEU,France,EU,NA,NA
FR3_8,FR,FR3,WEU,France,EU,NA,NA
FR5_11,FR,FR5,WEU,France,EU,NA,NA
FR5_12,FR,FR5,WEU,France,EU,NA,NA
FR6B_10,FR,FR6,WEU,France,EU,NA,NA
FR6B_11,FR,FR6,WEU,France,EU,NA,NA
FR6B_8,FR,FR6,WEU,France,EU,NA,NA
FR6B_9,FR,FR6,WEU,France,EU,NA,NA
GER1_12,GER,GER1,CEU,Germany,EU,NA,NA
GER2A_10,GER,GER2,CEU,Germany,EU,NA,NA
GER2B_12,GER,GER2,CEU,Germany,EU,NA,NA
GER2B_8,GER,GER2,CEU,Germany,EU,NA,NA
GER2B_9,GER,GER2,CEU,Germany,EU,NA,NA
GER3_11,GER,GER3,CEU,Germany,EU,NA,NA
GER3_14,GER,GER3,CEU,Germany,EU,NA,NA
GER3_16,GER,GER3,CEU,Germany,EU,NA,NA
GER4_1,GER,GER4,CEU,Germany,EU,NA,NA
GER4_14,GER,GER4,CEU,Germany,EU,NA,NA
GER4_15,GER,GER4,CEU,Germany,EU,NA,NA
GER4_2,GER,GER4,CEU,Germany,EU,NA,NA
GER4_4,GER,GER4,CEU,Germany,EU,NA,NA
GER4_6,GER,GER4,CEU,Germany,EU,NA,NA
GER4_9,GER,GER4,CEU,Germany,EU,NA,NA
GER5_1,GER,GER5,CEU,Germany,EU,NA,NA
GER5_15,GER,GER5,CEU,Germany,EU,NA,NA
GER5_2,GER,GER5,CEU,Germany,EU,NA,NA
GER5_3,GER,GER5,CEU,Germany,EU,NA,NA
GER5_4,GER,GER5,CEU,Germany,EU,NA,NA
GER5_6,GER,GER5,CEU,Germany,EU,NA,NA
GER6_1,GER,GER6,CEU,Germany,EU,NA,NA
GER6_17,GER,GER6,CEU,Germany,EU,NA,NA
GER6_2,GER,GER6,CEU,Germany,EU,NA,NA
GER6_20,GER,GER6,CEU,Germany,EU,NA,NA
GER6_3,GER,GER6,CEU,Germany,EU,NA,NA
GER6_6,GER,GER6,CEU,Germany,EU,NA,NA
GER6_9,GER,GER6,CEU,Germany,EU,NA,NA
GER7_10,GER,GER7,CEU,Germany,EU,NA,NA
GER7_2,GER,GER7,CEU,Germany,EU,NA,NA
GER7_3,GER,GER7,CEU,Germany,EU,NA,NA
GER7_4,GER,GER7,CEU,Germany,EU,NA,NA
GER7_9,GER,GER7,CEU,Germany,EU,NA,NA
GER8_2,GER,GER8,CEU,Germany,EU,NA,NA
GER8_3,GER,GER8,CEU,Germany,EU,NA,NA
GER8_4,GER,GER8,CEU,Germany,EU,NA,NA
HL_1,HL,HL,PNW,USA,NAM,45.909633,-122.616945
HL_13,HL,HL,PNW,USA,NAM,45.909633,-122.616945
HL_18,HL,HL,PNW,USA,NAM,45.909633,-122.616945
HL_3,HL,HL,PNW,USA,NAM,45.909633,-122.616945
HL_4,HL,HL,PNW,USA,NAM,45.909633,-122.616945
HO_11,HO,HO,PNW,USA,NAM,44.224196,-123.511671
HO_13,HO,HO,PNW,USA,NAM,44.224196,-123.511671
HO_15,HO,HO,PNW,USA,NAM,44.224196,-123.511671
HO_5,HO,HO,PNW,USA,NAM,44.224196,-123.511671
HO_8,HO,HO,PNW,USA,NAM,44.224196,-123.511671
HR_12,HR,HR,PNW,USA,NAM,45.661346,-121.586227
HR_2,HR,HR,PNW,USA,NAM,45.661346,-121.586227
HR_3,HR,HR,PNW,USA,NAM,45.661346,-121.586227
HR_7,HR,HR,PNW,USA,NAM,45.661346,-121.586227
HV_1,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_12,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_13,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_15,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_16,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_18,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_20,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_21,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_3,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_4,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_7,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_8,HV,HV,NE,USA,NAM,44.66431,-73.19869
HV_9,HV,HV,NE,USA,NAM,44.66431,-73.19869
IC_1,IC,IC,PNW,USA,NAM,48.23527778,-123.5772222
IC_14,IC,IC,PNW,USA,NAM,48.23527778,-123.5772222
IC_15,IC,IC,PNW,USA,NAM,48.23527778,-123.5772222
IC_4,IC,IC,PNW,USA,NAM,48.23527778,-123.5772222
IC_7,IC,IC,PNW,USA,NAM,48.23527778,-123.5772222
IC_9,IC,IC,PNW,USA,NAM,48.23527778,-123.5772222
IL_1,IL,IL,PNW,USA,NAM,47.168389,-123.113595
IL_15,IL,IL,PNW,USA,NAM,47.168389,-123.113595
IL_2,IL,IL,PNW,USA,NAM,47.168389,-123.113595
IL_4,IL,IL,PNW,USA,NAM,47.168389,-123.113595
IL_7,IL,IL,PNW,USA,NAM,47.168389,-123.113595
JC_1,JC,JC,PNW,USA,NAM,48.16472222,-123.2997222
JC_14,JC,JC,PNW,USA,NAM,48.16472222,-123.2997222
JC_15,JC,JC,PNW,USA,NAM,48.16472222,-123.2997222
JC_17,JC,JC,PNW,USA,NAM,48.16472222,-123.2997222
JC_2,JC,JC,PNW,USA,NAM,48.16472222,-123.2997222
JF_01,JF,JF,NE,USA,NAM,42.49807,-76.2474
JF_11,JF,JF,NE,USA,NAM,42.49807,-76.2474
JF_18,JF,JF,NE,USA,NAM,42.49807,-76.2474
JF_25,JF,JF,NE,USA,NAM,42.49807,-76.2474
JV_1,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_10,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_11,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_12,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_13,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_14,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_16,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_17,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_19,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_2,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_20,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_3,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_4,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_5,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_6,JV,JV,NE,USA,NAM,42.50268,-76.60673
JV_7,JV,JV,NE,USA,NAM,42.50268,-76.60673
KR_2,KR,KR,PNW,USA,NAM,44.991536,-123.051
KR_3,KR,KR,PNW,USA,NAM,44.991536,-123.051
KR_5,KR,KR,PNW,USA,NAM,44.991536,-123.051
KR_6,KR,KR,PNW,USA,NAM,44.991536,-123.051
KR_8,KR,KR,PNW,USA,NAM,44.991536,-123.051
LH_1,LH,LH,NE,USA,NAM,42.5831,-74.27177
LH_10,LH,LH,NE,USA,NAM,42.5831,-74.27177
